a5775acd	Mike Kasprzak	2017-08-21 11:52:27 -0400	Merge pull request #1177 from povrazor/master
386a17c4	Mike Kasprzak	2017-08-21 11:51:53 -0400	changed end time and filter
315622d4	Mike Kasprzak	2017-08-16 21:31:05 -0400	Merge pull request #1176 from sgstair/event_simulation
266f1f98	Stephen Stair	2017-08-16 18:05:13 -0700	Fix array indexing issue
4fa6fa45	Stephen Stair	2017-08-16 17:43:55 -0700	Bots now publish their games, add more commments, and can unlike.
ef4645de	Stephen Stair	2017-08-16 16:18:06 -0700	Logging improvements, more understandable now. Bots reliably commenting and love-ing.
9cc3095d	Stephen Stair	2017-08-16 02:33:43 -0700	Bots are reliably posting nonsense
21242fbd	Stephen Stair	2017-08-15 21:02:48 -0700	Added API wrappers, colors to improve output readability.
877b7f5f	Stephen Stair	2017-08-15 02:03:59 -0700	Add persistent logging, generate event and all users.
6dfcf520	Stephen Stair	2017-08-14 21:58:50 -0700	Now automatically creating users using LD Api
a60e14b8	Stephen Stair	2017-08-12 01:43:49 -0700	Building framework for event simulation code.
e670e094	Stephen Stair	2017-07-25 02:12:54 -0700	Skeleton of LD event simulation script
0fdc32c4	Mike Kasprzak	2017-08-16 16:04:06 -0400	Merge pull request #1174 from povrazor/master
a5c5e2cd	Mike Kasprzak	2017-08-16 16:03:46 -0400	Fix for note love deleting
6b25520f	Mike Kasprzak	2017-08-05 15:41:40 -0400	Merge pull request #1171 from povrazor/master
56bd8cf9	Mike Kasprzak	2017-08-05 15:41:17 -0400	Fix for sorting order
91e77ac0	Mike Kasprzak	2017-08-05 14:32:38 -0400	Merge pull request #1170 from povrazor/master
4b1e7be5	Mike Kasprzak	2017-08-05 14:31:57 -0400	added dot dot
a9b23f10	Mike Kasprzak	2017-08-05 11:46:11 -0400	Merge pull request #1167 from povrazor/master
47b9ea7c	Mike Kasprzak	2017-08-05 11:45:26 -0400	hardcoded to ludum dare events
d4e7afeb	Mike Kasprzak	2017-08-05 11:42:41 -0400	upper cased the title
1ba8af22	Mike Kasprzak	2017-08-05 11:40:09 -0400	Added shortcut to event browsing
153bfdaf	Mike Kasprzak	2017-08-05 11:36:28 -0400	Merge pull request #1166 from povrazor/master
cd8e42fb	Mike Kasprzak	2017-08-05 11:36:06 -0400	added /tags support
d819fa0b	Mike Kasprzak	2017-08-05 11:30:36 -0400	Merge pull request #1165 from povrazor/master
57422f4e	Mike Kasprzak	2017-08-05 11:30:18 -0400	this should fix the path
1fff297d	Mike Kasprzak	2017-08-05 11:26:26 -0400	Merge pull request #1164 from povrazor/master
60f749b1	Mike Kasprzak	2017-08-05 11:26:07 -0400	should be safe now
bcd56e4c	Mike Kasprzak	2017-08-05 11:17:10 -0400	Merge pull request #1163 from povrazor/master
a1068a73	Mike Kasprzak	2017-08-05 11:16:53 -0400	oops brok
7d439ae7	Mike Kasprzak	2017-08-05 11:14:26 -0400	Merge pull request #1162 from povrazor/master
8573b58a	Mike Kasprzak	2017-08-05 11:14:07 -0400	Showing
96009e07	Mike Kasprzak	2017-08-05 10:56:22 -0400	Merge pull request #1161 from povrazor/master
59f6e211	Mike Kasprzak	2017-08-05 10:55:51 -0400	Fetching group feed
